,PjAreaCode,Neighborhood,RecBiz
0,MN12,Upper West Side,boutique
1,MN50,Stuyvesant Town,restaurants
2,MN24,"SoHo, TriBeCa and Little Italy",arts & entertainment
3,MN15,Clinton,grocery
4,MN17,Theater District and Garment District,haircut
5,MN34,East Harlem,haircut
6,MN35,Washington Heights,haircut
7,MN19,Turtle Bay,boutique
8,MN21,Gramercy,arts & entertainment
9,MN40,Upper East Side,boutique
10,MN23,Greenwich Village,haircut
11,MN28,Lower East Side,education
12,MN27,Chinatown,haircut
13,MN11,Harlem,grocery
14,MN22,East Village,fitness & instruction
15,MN13,"Chelsea, Flatiron District and Union Square",health & medical
16,MN20,Murray Hill and Kips Bay,boutique
17,MN25,Financial District and Battery Park City,boutique
18,MN09,Morningside Heights,fitness & instruction
19,BK69,Clinton Hill,arts & entertainment
20,BK61,Crown Heights,health & medical
21,BK09,Brooklyn Heights and Cobble Hill,haircut
22,BK37,Park Slope and Gowanus,health & medical
23,BK77,Bushwick,haircut
24,BK72,Williamsburg,arts & entertainment
25,BK68,Fort Greene,boutique
26,BK38,"Downtown Brooklyn, DUMBO, Vinegar Hill and Boerum Hill",arts & entertainment
27,BK75,Bedford-Stuyvesant,coffee & tea
28,BK76,Greenpoint,haircut
29,BK90,East Williamsburg,arts & entertainment
30,BK33,Carroll Gardens and Red Hook,grocery
31,BK64,Prospect Heights,haircut
